skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Fist of the Heavens	121	pal	fist of the heavens		80												fistoftheheavensdelay			handofgod					20																																																				paladin_handofgod_cast															36					fistoftheheavensdelay												1	7		none												SC	SC	xx					4			1							1		1			4						40	20					Blessed Hammer	Conversion						25	1						1	7	50	-1	1										ln34+ (skill('Prayer'.blvl)+skill('Holy Bolt'.blvl)) * par7	min heal	ln56+ (skill('Prayer'.blvl)+skill('Holy Bolt'.blvl)) * par7	max heal			ln12	# bolts	6	holy bolts to release	1	holy bolts per level	1	min hitpoints healed	2	hitpoints healed per level	6	max hitpoints healed	2	hitpoints healed per level	15	heal synergy	7	damage synergy	40								8															ltng	150	15	30	45	55	65	200	15	30	45	55	65	(skill('Holy Bolt'.blvl)+skill('Conversion'.blvl)+skill('Holy Shock'.blvl))*par8									500
Fanaticism	122	pal	fanaticism		65																73731	fanaticism	fanaticism		ln12	attackrate	dm34	item_tohit_percent	toht	damagepercent	ln56/2+skill('Might'.blvl)*par8																	damagepercent	ln56+skill('Might'.blvl)*par8/16																																																											1	1	8		none														A1																										40	20					Might														0	8	0	0	1	1	1		50														11	radius	1	additional radius per level	10	min% boost	80	max% boost	54	% damage boost	18	% damage bonus per level			140	damage synergy	40	40	5						8																																					500
Conviction	123	pal	conviction		66																42371	conviction	conviction		ln12	skill_armor_percent	-ln56-(skill('Holy Fire'.blvl)+skill('Holy Freeze'.blvl)+skill('Holy Shock'.blvl))*par8-skill('Vengeance'.blvl)/2*par8)	fireresist	"-min(ln34+(skill('Holy Fire'.blvl)+skill('Holy Freeze'.blvl)+skill('Holy Shock'.blvl)+skill('Vengeance'.blvl)/2)*par8,150)"	coldresist	"-min(ln34+(skill('Holy Fire'.blvl)+skill('Holy Freeze'.blvl)+skill('Holy Shock'.blvl)+skill('Vengeance'.blvl)/2)*par8,150)"	lightresist	"-min(ln34+(skill('Holy Fire'.blvl)+skill('Holy Freeze'.blvl)+skill('Holy Shock'.blvl)+skill('Vengeance'.blvl)/2)*par8,150)"																																																																												1	6		none		mele												xx	5		1																							40	20					Holy Shock														0	8	0	0	1	1	1		50														20	radius	0	additional radius per level	30	% resist reduction	5	% resist reduction per level	40	min % AC reduction	2	max % AC reduction	2	resist reduction synergy	2	ac reduction synergy	40								8																																					500
Redemption	124	pal	redemption		82																4354	redemption		5000	ln12																																																																								redemption												1	0		none														xx																										40	20					Vigor														0	8	0	0	1	1	1		50						dm34	chance to redeem	ln56+(skill('Prayer'.blvl)*par8/2)	hp gain	ln56+(skill('Meditation'.blvl)*par7/2)	mana gain			16	radius	0	additional radius per level	10	min % chance redeem	100	max % chance redeem	30	HP and mana gained	10	HP and mana gained/level	5	mana gain synergy	5	hp gain synergy	40								8																																					500
Salvation	125	pal	salvation		65																73731	resistall	resistall		ln12	fireresist	dm34+skill('Resist Fire'.blvl)*par8	coldresist	dm34+skill('Resist Cold'.blvl)*par8	lightresist	dm34+skill('Resist Lightning'.blvl)*par8																																																																													1	1	8		none														xx																										40	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	0	min % resist	120	max % resist							1	resist synergy	40								8																																					500
Sword Mastery	126	bar	sword mastery																																											swordmastery	swor	passive_mastery_melee_th	ln12+skill('Increased Speed'.blvl)*par7*3/4	passive_mastery_melee_dmg	ln34+skill('Iron Skin'.blvl)*par8/2	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	40																			0	8	0	0	1		1				1												30	Attack % base	10	Attack % per level	30	Damage % base	5	damage % per level	0	critical%	25	critical%	10	to hit synergy	5	damage synergy	1								8																																					500
Axe Mastery	127	bar	axe mastery																																											axemastery	axe	passive_mastery_melee_th	ln12+skill('Increased Speed'.blvl)*par7*3/4	passive_mastery_melee_dmg	ln34+skill('Iron Skin'.blvl)*par8/2	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	40																			0	8	0	0	1		1				1												30	Attack % base	12	Attack % per level	30	Damage % base	6	damage % per level	0	critical%	30	critical%	12	to hit synergy	6	damage synergy	1								8																																					500
Mace Mastery	128	bar	mace mastery																																											macemastery	blun	passive_mastery_melee_th	ln12+skill('Increased Speed'.blvl)*par7*3/4	passive_mastery_melee_dmg	ln34+skill('Iron Skin'.blvl)*par8/2	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	40																			0	8	0	0	1		1				1												30	Attack % base	12	Attack % per level	30	Damage % base	6	damage % per level	0	critical%	30	critical%	12	to hit synergy	6	damage synergy	1								8																																					500
Howl	129	bar	howl		22												howl						terror																																																							barbarian_howl_1														25					howl				par1 * (lvl-1) + (skill('Grim Ward'.blvl)+skill('Taunt'.blvl)+skill('Increased Stamina'.blvl)+skill('War Cry'.blvl))*par8)	velocity adder							1	0		none												SC	SC	xx				1																						1	40																			1	6	16	-1	1										par1 * (lvl-1)	velocity adder							2	Velocity/level increase	1	Plev+Slev+n	24	Distance to retreat	5	Distance per level	75	Time to retreat	75	Time per level			1	velocity synergy	1								8																																					500
Find Potion	130	bar	find potion	33	69																																																																							1		barbarian_findobject_1							barbarian_findheart_1						26	38																	1	0		h2h												SC	SC	xx				1				1		4	1															1	40																			1	6	8	-1	1										dm12+skill('Iron Skin'.blvl)*par6	chance							0	min chance to find heart	100	max chance to find heart	30+(skill('War Cry'.blvl)+skill('Increased Stamina'.blvl))*par7	Chance of finding a mana potion	10+skill('Natural Resistance'.blvl)*par8	Chance of finding rejuv			3	bonus to find potion	2	bonus to find mana potion	1	bonus to find rejuv potion	1								8																																					500
Leap	131	bar	leap	40	77												leapknockback								dm12+skill('Leap Attack'.blvl)*par8+skill('Increased Speed'.blvl)*par8/2																																																			1		barbarian_leap_1													29	43																	1	0		none												SQ	A1	A1	13		1																							1	40													1						1	8	2	0	1	1									ln34+(skill('Leap Attack'.blvl)+skill('Increased Speed'.blvl)*par7	knockback radius							4	min distance	30	max distance	8	Knockback range	2	knockback range per level					2	knockback synergy	1	leap distance synergy	1								8																																					500
Double Swing	132	bar	double swing		70																																																																											1											27	39									par5+(skill('Double Throw'.blvl)+skill('Frenzy'.blvl)*2)*par7	attack rate bonus							1	5		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1											1	40													1						0	5	16	-1	1										ln34+(skill('Concentrate'.blvl)+skill('Bash'.blvl)+skill('Frenzy'.blvl)+skill('Berserk'.blvl))*par8/16	damage%		post dmg add		attack rate bonus			50	Attack rate bonus			30	Damage % base	6	Damage % per level	50	Attack rate bonus			10	to hit synergy	60	damage synergy	1			par5+lvl*5+skill('Concentrate'.blvl)*par7+(skill('Double Throw'.blvl)+skill('Frenzy'.blvl)*2)*par7					8	128																																				500
Pole Arm Mastery	133	bar	pole arm mastery																																											polearmmastery	pole	passive_mastery_melee_th	ln12+skill('Increased Speed'.blvl)*par7*3/4	passive_mastery_melee_dmg	ln34+skill('Iron Skin'.blvl)*par8/2	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	40																			0	8	0	0	1						1												30	Attack % base	15	Attack % per level	30	Damage % base	8	damage % per level	0	critical%	35	critical%	15	to hit synergy	8	damage synergy	1								8																																					500
Throwing Mastery	134	bar	throwing mastery																																											throwingmastery	thro	passive_mastery_throw_th	ln12+skill('Increased Speed'.blvl)*par7*3/4	passive_mastery_throw_dmg	ln34+skill('Iron Skin'.blvl)*par8/2	passive_mastery_throw_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	40																			0	8	0	0	1						1												30	Attack % base	15	Attack % per level	30	Damage % base	8	damage % per level	0	critical%	40	critical%	15	to hit synergy	8	damage synergy	1								8																																					500
Spear Mastery	135	bar	spear mastery																																											spearmastery	spea	passive_mastery_melee_th	ln12+skill('Increased Speed'.blvl)*par7*3/4	passive_mastery_melee_dmg	ln34+skill('Iron Skin'.blvl)*par8/2	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																						1	40																			0	8	0	0	1						1												30	Attack % base	15	Attack % per level	30	Damage % base	8	damage % per level	0	critical%	35	critical%	15	to hit synergy	8	damage synergy	1								8																																					500
Taunt	136	bar	taunt		71																34179		taunt			item_tohit_percent	"-max(ln12+(skill('Howl'.blvl)+skill('Battle Cry'.blvl))*par7,100)"	damagepercent	"-max(ln34+(skill('Howl'.blvl)+skill('Battle Cry'.blvl))*par8,100)"																																																	barbarian_taunt_1																															1	0		none												SC	SC	xx				1				1																		1	40																			1	6	12	-1	1																		10	% to hit for target	3	% to hit/level	10	% damage for target	3	% damage/level					2	% to hit synergy	2	% to damage synergy	1								8																																					500
Stun	137	bar	stun	32	2																																																																									barbarian_grunt_small_1	1																														1	0		h2h		mele										A1	A1	A1				1		1	1								1											1	40													1						1	8	2	0	1										ln34+(skill('Concentrate'.blvl)+skill('Bash'.blvl)+skill('Berserk'.blvl))*par8/16	damage %							30	Frames the target is stunned	5	additional frames/level	30	Damage % base	6	Damage % per level			5	stun synergy	5	to hit synergy	80	damage synergy	1			10+lvl*5+skill('Concentrate'.blvl)*par7			96		8	128														stun														30	5	5	5	(skill('Concentrate'.blvl)+skill('Bash'.blvl)+skill('Increased Stamina'.blvl)+skill('War Cry'.blvl))*par6				500
Shout	138	bar	shout		68												shout					shout	shout	ln34+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl)+skill('Battle Cry'.blvl)+skill('War Cry'.blvl))*par8		skill_armor_percent	ln12+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par7																																																			barbarian_shout_1														25					shout												1	8		none												SC	SC	A1				1																						8	35					Taunt														1	7	12	1	1	1																	100	% AC bonus for friendlies	25	% AC bonus per level	625	duration	250	duration/level					25	ac synergy	125	duration synergy	8								8																																		1			500
Double Throw	139	bar	double throw		74																																																																																						11	42																	1	5		rng	3	thro					thro					SQ	A1	xx	15		1	1																						8	35					Double Swing								1		6				1	8	1	0	1										ln34+(skill('Double Swing'.blvl)+skill('Frenzy'.blvl))*par8/16 + (skill('Concentrate'.blvl)+skill('Bash'.blvl)+skill('Berserk'.blvl))*par7/16	damage%							0	?	0	?	30	Damage % base	6	Damage % per level			5	to hit synergy	96	damage synergy	110	damage synergy	8			20+lvl*10+skill('Concentrate'.blvl)*par6					8	128																																				500
Concentrate	140	bar	concentrate	32	2															doubledamage1		concentrate				skill_armor_percent	ln34+(skill('Shout'.blvl)+skill('Iron Skin'.blvl))*par6																																																			barbarian_grunt_small_1	1																														1	0		h2h		mele										A1	A1	A1				1		1	1								1											8	35					Stun								1						1	5	16	1											ln12+(skill('Bash'.blvl)+skill('Berserk'.blvl))*par8/16 + skill('Battle Orders'.blvl)*par7/16	damage%		post dmg add		attack rate bonus	skill('Berserk'.blvl)	convert%	100	Damage % base	10	Damage % per level	100	% AC bonus	20	% AC bonus per level	5	to hit synergy	10	ac synergy	96	damage synergy	110	damage synergy	8	60	10	60+lvl*10+(skill('Bash'.blvl)+skill('Berserk'.blvl))*par5					8	128														mag																						500
Grim Ward	141	bar	grim ward	33	75												grimwardmediumstart	grimwardsmallstart	grimwardlargestart		2		freeze	par6+skill('Howl'.blvl)*par8/2	ln12+(skill('Howl'.blvl)+skill('Taunt'.blvl)/3+skill('Battle Cry'.blvl)/3)*par7																																																												barbarian_grimward_1						26	41					grimwardmediumstart	grimwardsmallstart	grimwardlargestart										1	0		h2h												SC	SC	A1				1				1		6	1															8	20					Howl														1	8	15	1	1										ln34	ward duration							10	radius	0	radius/level	125	duration	5	duration/level	10	Distance to run	50	Monster scare duration	1	radius synergy	5	scare synergy	8								8																																					500
Increased Speed	142	bar	increased speed																																											increasedspeed		velocitypercent	dm12+skill('Battle Orders'.blvl)*par7	skill_passive_staminapercent	ln34+skill('Battle Orders'.blvl)*par8																																																										1	0		none												SC	SC	xx				1																						16	30																			0	8	0	0	1						1												7	min % speed increase	50	max % speed increase	30	% stamina increase	15	% stamina increase per level					1	speed synergy	1	stamina synergy	16								8																																					500
Leap Attack	143	bar	leap attack	41	78															bash																																																								1		barbarian_leapattack_1													30	44																	1	6		none		mele										SQ	A1	A1	14		1			1																				16	30					Leap								1						1	6	28	1	1										ln34+skill('Leap'.blvl)*par8/16 +(skill('Stun'.blvl)+skill('Bash'.blvl)+skill('Berserk'.blvl))*par8*3/4								4	min distance	30	max distance	150	Min % damage bonus	50	% damage bonus	4	Knockback range	2	knockback range per level	5	to hit synergy	200	damage synergy	16			50+lvl*15+skill('Concentrate'.blvl)*par7					8	128																																				500
Find Item	144	bar	find item																																											finditem		item_magicbonus	dm12+skill('Natural Resistance'.blvl)*par8/2																																																												1	0		none												SC	SC	xx				1																						24	25					Find Potion														0	8	0	0	1						1				dm12+skill('Natural Resistance'.blvl)*par8/2	MF bonus							0	min chance to find heart	100	max chance to find heart											5	bonus to find magic item	24								8																																					500
